"","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"FRA",0,0,0,1,1,1,1,2,0,2,2,2,4,0,1,2,2,0,1,1,1,1,2,1,0
"GUF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PYF",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0
"GAB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
"GMB",0,0,0,0,0,3,0,0,4,2,2,1,3,3,0,0,0,2,4,0,0,5,3,1,0
"GEO",0,0,0,2,2,2,1,0,1,5,2,4,0,2,3,2,0,0,3,0,3,3,3,4,0
"DEU",0,0,0,0,2,2,3,0,1,0,0,5,0,1,2,3,0,1,0,2,0,2,3,2,0
"DDR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DFR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GHA",0,0,0,0,5,3,2,3,1,1,1,3,0,2,1,1,2,4,1,3,1,2,4,4,0
"GRC",0,0,0,3,4,1,1,0,1,1,2,1,2,1,1,2,2,3,1,0,2,1,1,1,0
"GRD",0,0,0,0,0,0,0,0,2,0,0,0,0,4,3,0,0,0,0,1,0,0,0,0,0
"GLP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GUM",0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"GTM",0,0,0,0,3,0,0,5,2,0,5,0,1,0,5,0,3,5,6,1,5,5,0,6,0
"GIN",0,0,0,4,0,0,0,1,2,2,5,0,2,2,3,0,4,3,4,4,2,3,4,3,0
"GNB",0,0,0,3,1,4,4,1,3,0,0,5,1,2,4,4,2,4,1,4,0,1,0,2,0
"GUY",0,0,0,0,2,4,5,0,0,0,0,0,0,0,5,4,0,5,0,1,0,0,0,0,0
"HTI",0,0,0,6,0,0,0,4,2,3,2,4,4,5,2,3,3,5,3,5,3,3,0,6,0
"HND",0,0,0,4,0,4,0,3,5,3,5,4,3,5,2,3,4,5,4,1,4,5,4,5,0
"HKG",0,0,0,3,1,2,2,0,0,2,0,3,2,0,0,0,0,2,2,4,0,2,0,1,0
"HUN",0,0,0,2,1,2,1,0,4,3,1,3,1,2,1,2,1,2,0,3,2,1,4,3,0
"ISL",0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"IND",0,0,0,2,4,1,2,6,4,6,6,6,2,5,6,2,4,6,0,3,6,6,2,0,0
"Ind",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IDN",0,0,0,5,5,5,6,2,3,4,0,2,4,5,4,2,5,4,6,5,3,4,5,4,0
"IRN",0,0,0,4,2,0,0,2,6,1,3,0,2,3,0,5,5,0,2,0,2,2,3,4,0
"IRQ",0,0,0,1,0,0,0,1,0,2,0,0,1,1,0,0,3,0,2,2,3,1,1,0,0
